Bottle #,defect,tilt,H offset,V offset,Capacity
338,None,0.174,0.041,0.061,300
339,None,0.484,0.049,0.067,300
340,None,0.170,0.047,0.071,300
341,bump,0.271,0.021,0.064,300
342,damage,0.376,0.019,0.063,300
343,None,0.177,0.021,0.066,300
344,None,0.481,0.034,0.070,300
345,None,0.220,0.019,0.058,300
346,damage,0.202,0.032,0.063,300
347,None,0.174,0.041,0.061,300
348,None,0.484,0.049,0.067,300
349,None,0.170,0.047,0.071,300
350,bump,0.271,0.021,0.064,300
351,damage,0.376,0.019,0.063,300
352,None,0.177,0.021,0.066,300
353,None,0.481,0.034,0.070,300
354,None,0.220,0.019,0.058,300
355,damage,0.202,0.032,0.063,300
356,None,0.174,0.041,0.061,300
357,None,0.484,0.049,0.067,300
358,None,0.170,0.047,0.071,300
359,bump,0.271,0.021,0.064,300
360,damage,0.376,0.019,0.063,300
361,None,0.177,0.021,0.066,300
362,None,0.481,0.034,0.070,300
363,None,0.220,0.019,0.058,300
364,damage,0.202,0.032,0.063,300
365,None,0.174,0.041,0.061,300
366,None,0.484,0.049,0.067,300
367,None,0.170,0.047,0.071,300
368,bump,0.271,0.021,0.064,300
369,damage,0.376,0.019,0.063,300
370,None,0.177,0.021,0.066,300
371,None,0.481,0.034,0.070,300
372,None,0.220,0.019,0.058,300
373,damage,0.202,0.032,0.063,300
374,None,0.174,0.041,0.061,300
375,None,0.484,0.049,0.067,300
376,None,0.170,0.047,0.071,300
377,bump,0.271,0.021,0.064,300
378,damage,0.376,0.019,0.063,300
379,None,0.177,0.021,0.066,300
380,None,0.481,0.034,0.070,300
381,None,0.220,0.019,0.058,300
382,damage,0.202,0.032,0.063,300
383,None,0.174,0.041,0.061,300
384,None,0.484,0.049,0.067,300
385,None,0.170,0.047,0.071,300
386,bump,0.271,0.021,0.064,300
387,damage,0.376,0.019,0.063,300
388,None,0.177,0.021,0.066,300
389,None,0.481,0.034,0.070,300
390,None,0.220,0.019,0.058,300
391,damage,0.202,0.032,0.063,300
392,None,0.174,0.041,0.061,300
393,None,0.484,0.049,0.067,300
394,None,0.170,0.047,0.071,300
395,bump,0.271,0.021,0.064,300
396,damage,0.376,0.019,0.063,300
397,None,0.177,0.021,0.066,300
398,None,0.481,0.034,0.070,300
399,None,0.220,0.019,0.058,300
400,damage,0.202,0.032,0.063,300
401,None,0.174,0.041,0.061,300
402,None,0.484,0.049,0.067,300
403,None,0.170,0.047,0.071,300
404,bump,0.271,0.021,0.064,300
405,damage,0.376,0.019,0.063,300
406,None,0.177,0.021,0.066,300
407,None,0.481,0.034,0.070,300
408,None,0.220,0.019,0.058,300
409,damage,0.202,0.032,0.063,300
410,None,0.174,0.041,0.061,300
411,None,0.484,0.049,0.067,300
412,None,0.170,0.047,0.071,300
413,bump,0.271,0.021,0.064,300
414,damage,0.376,0.019,0.063,300
415,None,0.177,0.021,0.066,300
416,None,0.481,0.034,0.070,300
417,None,0.220,0.019,0.058,300
418,damage,0.202,0.032,0.063,300
419,None,0.174,0.041,0.061,300
420,None,0.484,0.049,0.067,300
421,None,0.170,0.047,0.071,300
422,bump,0.271,0.021,0.064,300
423,damage,0.376,0.019,0.063,300
424,None,0.177,0.021,0.066,300
425,None,0.481,0.034,0.070,300
426,None,0.220,0.019,0.058,300
427,damage,0.202,0.032,0.063,300
428,None,0.174,0.041,0.061,300
429,None,0.484,0.049,0.067,300
430,None,0.170,0.047,0.071,300
431,bump,0.271,0.021,0.064,300
432,damage,0.376,0.019,0.063,300
433,None,0.177,0.021,0.066,300
434,None,0.481,0.034,0.070,300
435,None,0.220,0.019,0.058,300
436,damage,0.202,0.032,0.063,300
437,None,0.174,0.041,0.061,300
438,None,0.484,0.049,0.067,300
439,None,0.170,0.047,0.071,300
440,bump,0.271,0.021,0.064,300
441,damage,0.376,0.019,0.063,300
442,None,0.177,0.021,0.066,300
443,None,0.481,0.034,0.070,300
444,None,0.220,0.019,0.058,300
445,damage,0.202,0.032,0.063,300
446,None,0.174,0.041,0.061,300
447,None,0.484,0.049,0.067,300
448,None,0.170,0.047,0.071,300
449,bump,0.271,0.021,0.064,300
450,damage,0.376,0.019,0.063,300
451,None,0.177,0.021,0.066,300
452,None,0.481,0.034,0.070,300
453,None,0.220,0.019,0.058,300
454,damage,0.202,0.032,0.063,300
455,None,0.174,0.041,0.061,300
456,None,0.484,0.049,0.067,300
457,None,0.170,0.047,0.071,300
458,bump,0.271,0.021,0.064,300
459,damage,0.376,0.019,0.063,300
460,None,0.177,0.021,0.066,300
461,None,0.481,0.034,0.070,300
462,None,0.220,0.019,0.058,300
463,damage,0.202,0.032,0.063,300
464,None,0.174,0.041,0.061,300
465,None,0.484,0.049,0.067,300
466,None,0.170,0.047,0.071,300
467,bump,0.271,0.021,0.064,300
468,damage,0.376,0.019,0.063,300
469,None,0.177,0.021,0.066,300
470,None,0.481,0.034,0.070,300
471,None,0.220,0.019,0.058,300
472,damage,0.202,0.032,0.063,300
473,None,0.174,0.041,0.061,300
474,None,0.484,0.049,0.067,300
475,None,0.170,0.047,0.071,300
476,bump,0.271,0.021,0.064,300
477,damage,0.376,0.019,0.063,300
478,None,0.177,0.021,0.066,300
479,None,0.481,0.034,0.070,300
480,None,0.220,0.019,0.058,300
481,damage,0.202,0.032,0.063,300
482,None,0.174,0.041,0.061,300
483,None,0.484,0.049,0.067,300
484,None,0.170,0.047,0.071,300
485,bump,0.271,0.021,0.064,300
486,damage,0.376,0.019,0.063,300
487,None,0.177,0.021,0.066,300
488,None,0.481,0.034,0.070,300
489,None,0.220,0.019,0.058,300
490,damage,0.202,0.032,0.063,300
491,None,0.174,0.041,0.061,300
492,None,0.484,0.049,0.067,300
493,None,0.170,0.047,0.071,300
494,bump,0.271,0.021,0.064,300
495,damage,0.376,0.019,0.063,300
496,None,0.177,0.021,0.066,300
497,None,0.481,0.034,0.070,300
498,None,0.220,0.019,0.058,300
499,damage,0.202,0.032,0.063,300
500,None,0.174,0.041,0.061,300
501,None,0.484,0.049,0.067,300
502,None,0.170,0.047,0.071,300
503,bump,0.271,0.021,0.064,300
504,damage,0.376,0.019,0.063,300
505,None,0.177,0.021,0.066,300
506,None,0.481,0.034,0.070,300
507,None,0.220,0.019,0.058,300
508,damage,0.202,0.032,0.063,300
509,None,0.174,0.041,0.061,300
510,None,0.484,0.049,0.067,300
511,None,0.170,0.047,0.071,300
512,bump,0.271,0.021,0.064,300
513,damage,0.376,0.019,0.063,300
514,None,0.177,0.021,0.066,300
515,None,0.481,0.034,0.070,300
516,None,0.220,0.019,0.058,300
517,damage,0.202,0.032,0.063,300
518,None,0.174,0.041,0.061,300
519,None,0.484,0.049,0.067,300
520,None,0.170,0.047,0.071,300
521,bump,0.271,0.021,0.064,300
522,damage,0.376,0.019,0.063,300
523,None,0.177,0.021,0.066,300
524,None,0.481,0.034,0.070,300
525,None,0.220,0.019,0.058,300
526,damage,0.202,0.032,0.063,300
527,None,0.174,0.041,0.061,300
528,None,0.484,0.049,0.067,300
529,None,0.170,0.047,0.071,300
530,bump,0.271,0.021,0.064,300
531,damage,0.376,0.019,0.063,300
532,None,0.177,0.021,0.066,300
533,None,0.481,0.034,0.070,300
534,None,0.220,0.019,0.058,300
535,damage,0.202,0.032,0.063,300
536,None,0.174,0.041,0.061,300
537,None,0.484,0.049,0.067,300
538,None,0.170,0.047,0.071,300
539,bump,0.271,0.021,0.064,300
540,damage,0.376,0.019,0.063,300
541,None,0.177,0.021,0.066,300
542,None,0.481,0.034,0.070,300
543,None,0.220,0.019,0.058,300
544,damage,0.202,0.032,0.063,300
545,None,0.174,0.041,0.061,300
546,None,0.484,0.049,0.067,300
547,None,0.170,0.047,0.071,300
548,bump,0.271,0.021,0.064,300
549,damage,0.376,0.019,0.063,300
550,None,0.177,0.021,0.066,300
551,None,0.481,0.034,0.070,300
552,None,0.220,0.019,0.058,300
553,damage,0.202,0.032,0.063,300
554,None,0.174,0.041,0.061,300
555,None,0.484,0.049,0.067,300
556,None,0.170,0.047,0.071,300
557,bump,0.271,0.021,0.064,300
558,damage,0.376,0.019,0.063,300
559,None,0.177,0.021,0.066,300
560,None,0.481,0.034,0.070,300
561,None,0.220,0.019,0.058,300
562,damage,0.202,0.032,0.063,300
563,None,0.174,0.041,0.061,300
564,None,0.484,0.049,0.067,300
565,None,0.170,0.047,0.071,300
566,bump,0.271,0.021,0.064,300
567,damage,0.376,0.019,0.063,300
568,None,0.177,0.021,0.066,300
569,None,0.481,0.034,0.070,300
570,None,0.220,0.019,0.058,300
571,damage,0.202,0.032,0.063,300
572,None,0.174,0.041,0.061,300
573,None,0.484,0.049,0.067,300
574,None,0.170,0.047,0.071,300
575,bump,0.271,0.021,0.064,300
576,damage,0.376,0.019,0.063,300
577,None,0.177,0.021,0.066,300
578,None,0.481,0.034,0.070,300
579,None,0.220,0.019,0.058,300
580,damage,0.202,0.032,0.063,300
581,None,0.174,0.041,0.061,300
582,None,0.484,0.049,0.067,300
583,None,0.170,0.047,0.071,300
584,bump,0.271,0.021,0.064,300
